case,technique,implant_id,angular_error_deg,translational_offset_mm,tech_axis_x,tech_axis_y,tech_axis_z,tech_center_x,tech_center_y,tech_center_z,tech_radius_mm,gold_axis_x,gold_axis_y,gold_axis_z,gold_center_x,gold_center_y,gold_center_z,gold_radius_mm
s1,Intraoral_Scanner,1,0.6932,0.0864,-0.120197,-0.172143,-0.977711,-12.6922,38.1794,10.6712,2.4636,0.118587,0.183973,0.975751,-12.7677,38.1598,10.634,2.4624
s1,Intraoral_Scanner,2,2.2078,0.0337,-0.204903,0.047425,-0.977633,-10.9053,47.3642,9.787,2.4611,-0.220074,0.012077,-0.975408,-10.8899,47.3679,9.8167,2.4624
s1,Intraoral_Scanner,3,2.4723,0.0441,-0.083118,-0.188325,-0.978583,-10.7071,30.8214,9.8837,2.4644,0.068944,0.228389,0.971126,-10.6715,30.8031,9.9023,2.4634
s1,Intraoral_Scanner,4,0.4518,0.043,-0.132758,-0.01805,-0.990984,-4.0083,55.9003,7.5758,2.463,-0.125033,-0.019291,-0.991965,-4.0007,55.9407,7.5887,2.4629
s1,Intraoral_Scanner,5,1.3857,0.0451,-0.216745,0.05925,-0.974429,5.3337,57.7466,5.9123,2.4599,-0.210033,0.036161,-0.977025,5.3271,57.7183,5.8778,2.4614
s1,Intraoral_Scanner,6,0.6057,0.034,0.010759,0.271792,0.962296,12.5099,58.8115,5.4974,2.4634,0.00893,0.261763,0.965091,12.5334,58.8337,5.5079,2.462
s1,Nexus_Photogrammetry,1,4.209,0.0414,0.095966,0.115307,0.988683,-12.7442,38.1557,10.6677,2.4631,0.118587,0.183973,0.975751,-12.7677,38.1598,10.634,2.4624
s1,Nexus_Photogrammetry,2,8.6228,0.0219,0.103276,0.081256,0.991328,-10.9025,47.3808,9.8044,2.4622,-0.220074,0.012077,-0.975408,-10.8899,47.3679,9.8167,2.4624
s1,Nexus_Photogrammetry,3,3.2989,0.0265,0.08287,0.173473,0.981346,-10.6822,30.7863,9.8849,2.4621,0.068944,0.228389,0.971126,-10.6715,30.8031,9.9023,2.4634
s1,Nexus_Photogrammetry,4,8.6468,0.0354,0.071063,0.159878,0.984576,-4.0284,55.9302,7.5694,2.4612,-0.125033,-0.019291,-0.991965,-4.0007,55.9407,7.5887,2.4629
s1,Nexus_Photogrammetry,5,8.4837,0.0586,-0.195401,-0.111023,-0.974419,5.3467,57.7669,5.9039,2.4621,-0.210033,0.036161,-0.977025,5.3271,57.7183,5.8778,2.4614
s1,Nexus_Photogrammetry,6,8.1357,0.0329,0.038694,0.392568,0.918909,12.5412,58.8036,5.4971,2.463,0.00893,0.261763,0.965091,12.5334,58.8337,5.5079,2.462
s1,Shinning_Photogrammetry,1,2.6889,0.0516,-0.083209,-0.154413,-0.984496,-12.7521,38.2064,10.6496,2.3977,0.118587,0.183973,0.975751,-12.7677,38.1598,10.634,2.4624
