case,technique,implant_i,implant_j,gold_dist_mm,tech_dist_mm,dist_error_mm
s1,Intraoral_Scanner,1,2,9.4263,9.3877,0.0386
s1,Intraoral_Scanner,1,3,7.6991,7.6559,0.0432
s1,Intraoral_Scanner,1,4,20.049,19.9718,0.0771
s1,Intraoral_Scanner,1,5,27.0657,27.0172,0.0485
s1,Intraoral_Scanner,1,6,33.0705,32.9739,0.0966
s1,Intraoral_Scanner,2,3,16.5671,16.5299,0.0372
s1,Intraoral_Scanner,2,4,11.217,11.1997,0.0173
s1,Intraoral_Scanner,2,5,19.6413,19.6599,0.0185
s1,Intraoral_Scanner,2,6,26.4319,26.4205,0.0114
s1,Intraoral_Scanner,3,4,26.1056,26.059,0.0467
s1,Intraoral_Scanner,3,5,31.5668,31.5865,0.0197
s1,Intraoral_Scanner,3,6,36.6521,36.6274,0.0247
s1,Intraoral_Scanner,4,5,9.6577,9.6666,0.0089
s1,Intraoral_Scanner,4,6,16.9161,16.9041,0.012
s1,Intraoral_Scanner,5,6,7.2961,7.2645,0.0316
s1,Nexus_Photogrammetry,1,2,9.4263,9.4467,0.0203
s1,Nexus_Photogrammetry,1,3,7.6991,7.6922,0.0068
s1,Nexus_Photogrammetry,1,4,20.049,20.0347,0.0142
s1,Nexus_Photogrammetry,1,5,27.0657,27.102,0.0363
s1,Nexus_Photogrammetry,1,6,33.0705,33.0505,0.0201
s1,Nexus_Photogrammetry,2,3,16.5671,16.5969,0.0299
s1,Nexus_Photogrammetry,2,4,11.217,11.1935,0.0235
s1,Nexus_Photogrammetry,2,5,19.6413,19.6758,0.0345
s1,Nexus_Photogrammetry,2,6,26.4319,26.4311,0.0007
s1,Nexus_Photogrammetry,3,4,26.1056,26.1108,0.0052
s1,Nexus_Photogrammetry,3,5,31.5668,31.6345,0.0677
s1,Nexus_Photogrammetry,3,6,36.6521,36.6556,0.0035
s1,Nexus_Photogrammetry,4,5,9.6577,9.6998,0.0421
s1,Nexus_Photogrammetry,4,6,16.9161,16.9446,0.0285
s1,Nexus_Photogrammetry,5,6,7.2961,7.2789,0.0173
s1,Shinning_Photogrammetry,1,2,9.4263,9.3508,0.0755
s1,Shinning_Photogrammetry,1,3,7.6991,7.6748,0.0243
s1,Shinning_Photogrammetry,1,4,20.049,19.9749,0.0741
s1,Shinning_Photogrammetry,1,5,27.0657,26.9957,0.07
s1,Shinning_Photogrammetry,1,6,33.0705,33.0366,0.0339
s1,Shinning_Photogrammetry,2,3,16.5671,16.4666,0.1005
s1,Shinning_Photogrammetry,2,4,11.217,11.17,0.047
s1,Shinning_Photogrammetry,2,5,19.6413,19.5785,0.0629
s1,Shinning_Photogrammetry,2,6,26.4319,26.3533,0.0786
s1,Shinning_Photogrammetry,3,4,26.1056,26.0455,0.0602
s1,Shinning_Photogrammetry,3,5,31.5668,31.5174,0.0494
s1,Shinning_Photogrammetry,3,6,36.6521,36.6785,0.0264
s1,Shinning_Photogrammetry,4,5,9.6577,9.6949,0.0372
s1,Shinning_Photogrammetry,4,6,16.9161,16.8918,0.0243
s1,Shinning_Photogrammetry,5,6,7.2961,7.2206,0.0756
s2,Intraoral_Scanner,1,2,26.2674,26.1857,0.0817
s2,Intraoral_Scanner,1,3,18.0221,17.9387,0.0834
s2,Intraoral_Scanner,1,4,9.4916,9.414,0.0776
s2,Intraoral_Scanner,2,3,10.8653,10.8374,0.0279
s2,Intraoral_Scanner,2,4,20.5912,20.5458,0.0454
s2,Intraoral_Scanner,3,4,10.3309,10.3092,0.0218
s2,Nexus_Photogrammetry,1,2,26.2674,26.3022,0.0347
s2,Nexus_Photogrammetry,1,3,18.0221,18.057,0.0348
s2,Nexus_Photogrammetry,1,4,9.4916,9.5,0.0084
s2,Nexus_Photogrammetry,2,3,10.8653,10.8535,0.0118
s2,Nexus_Photogrammetry,2,4,20.5912,20.6023,0.0111
s2,Nexus_Photogrammetry,3,4,10.3309,10.3544,0.0235
s2,Shinning_Photogrammetry,1,2,26.2674,26.1196,0.1479
s2,Shinning_Photogrammetry,1,3,18.0221,17.8867,0.1355
s2,Shinning_Photogrammetry,1,4,9.4916,9.4929,0.0013
s2,Shinning_Photogrammetry,2,3,10.8653,10.8421,0.0232
s2,Shinning_Photogrammetry,2,4,20.5912,20.5028,0.0884
s2,Shinning_Photogrammetry,3,4,10.3309,10.2436,0.0873
